VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
8892,TRINCHERO FAMILY ESTATES,20217,Fancy Pants Red Blend,6.2,8.99,750.0,192,1190.4,76.0,683.2400000000001,287.6800000000001,8.480000000000004,23191.94,-507.15999999999997,-74.22867513611612,0.3958333333333333,0.5739583333333333
2000,SOUTHERN WINE & SPIRITS NE,21601,Candoni Moscato,9.92,14.49,750.0,120,1190.3999999999999,50.0,724.5000000000002,550.6200000000002,5.500000000000002,38033.180000000015,-465.89999999999964,-64.30641821946162,0.4166666666666667,0.6086189516129035
12546,JIM BEAM BRANDS COMPANY,657,DeKuyper Apricot Brandy,6.19,7.99,750.0,192,1188.4799999999998,72.0,575.28,47.940000000000005,56.7,247761.94,-613.1999999999998,-106.59157279933247,0.375,0.4840468497576737
5992,MCCORMICK DISTILLING CO,977,McCormick Scotch,8.98,11.49,1000.0,132,1185.36,86.0,988.1400000000003,712.3800000000003,90.29999999999993,3135.7000000000003,-197.21999999999957,-19.958710304207855,0.6515151515151515,0.8336201660255116
2000,SOUTHERN WINE & SPIRITS NE,23331,Ch Ducru Beaucaillou 11 Jul,98.68,149.99,750.0,12,1184.16,20.0,2999.8,899.94,2.2600000000000002,38033.180000000015,1815.64,60.52536835789053,1.6666666666666667,2.5332725307390893
4425,MARTIGNETTI COMPANIES,23098,DeLille Cellars Doyenne AIX,26.89,38.99,750.0,44,1183.16,48.0,1871.5200000000002,467.88000000000005,5.380000000000001,289858.48000000004,688.3600000000001,36.78079849534069,1.0909090909090908,1.5817978971567668
1650,Circa Wines,24784,Roncolato Pnt Grigio Veneto,7.04,10.49,750.0,168,1182.72,84.0,857.16,81.92,9.459999999999999,423.94000000000005,-325.56000000000006,-37.981240375192506,0.5,0.7247362012987013
4950,LATITUDE BEVERAGE COMPANY,15835,Ninety+Cellars Lot 33 Rose,6.16,8.99,750.0,192,1182.72,124.0,1362.7600000000007,703.3600000000004,13.759999999999994,3219.9999999999986,180.04000000000065,13.211423875077092,0.6458333333333334,1.1522253787878793
6785,PALM BAY INTERNATIONAL INC,21282,Lunetta Rose Brut,7.99,11.99,750.0,148,1182.52,36.0,431.6400000000001,335.72000000000014,3.9799999999999995,27210.819999999992,-750.8799999999999,-173.95978129923077,0.24324324324324326,0.3650170821635153
8673,STE MICHELLE WINE ESTATES,22201,Tormaresca Primitivo,8.21,11.99,750.0,144,1182.24,74.0,983.26,75.94,8.32,31839.40000000002,-198.98000000000002,-20.236763419644856,0.5138888888888888,0.8316923805657057
3252,E & J GALLO WINERY,21318,Barefoot Refresh Crisp Red,3.94,5.99,750.0,300,1182.0,184.0,1092.1600000000005,329.4400000000003,20.579999999999977,123933.81999999999,-89.83999999999946,-8.225900966891246,0.6133333333333333,0.9239932318104912
4425,MARTIGNETTI COMPANIES,26846,Josh Cellars Craftsman Chard,8.44,12.99,750.0,140,1181.6,44.0,571.5600000000002,285.7800000000001,4.9,289858.48000000004,-610.0399999999997,-106.73245153614661,0.3142857142857143,0.4837169939065675
1392,CONSTELLATION BRANDS INC,15329,Rex Goliath Moscato,4.1,7.99,750.0,288,1180.8000000000004,92.0,603.0800000000005,463.3000000000004,10.159999999999993,159057.9800000001,-577.7199999999999,-95.79491941367637,0.3194444444444444,0.5107384823848241
1392,CONSTELLATION BRANDS INC,41862,Rex Goliath Shiraz,4.1,5.99,750.0,288,1180.8000000000004,58.0,395.4200000000001,87.86,6.500000000000002,159057.9800000001,-785.3800000000003,-198.6191897223206,0.2013888888888889,0.3348746612466124
3960,DIAGEO NORTH AMERICA INC,7424,Capt Morgan White,12.29,17.99,1000.0,96,1179.84,124.0,1920.7600000000004,1022.3400000000005,130.1999999999999,514064.14,740.9200000000005,38.57431433390951,1.2916666666666667,1.6279834553837813
